TermIdx,RF4_Topic_1,RF4_Topic_2,RF4_Topic_3,RF4_Topic_4,GI5_Topic_1,GI5_Topic_2,GI5_Topic_3,GI5_Topic_4,GI5_Topic_5,V7_Topic_1,V7_Topic_2,V7_Topic_3,V7_Topic_4,V7_Topic_5,V7_Topic_6,V7_Topic_7,V10_Topic_1,V10_Topic_2,V10_Topic_3,V10_Topic_4,V10_Topic_5,V10_Topic_6,V10_Topic_7,V10_Topic_8,V10_Topic_9,V10_Topic_10,M11_Topic_1,M11_Topic_2,M11_Topic_3,M11_Topic_4,M11_Topic_5,M11_Topic_6,M11_Topic_7,M11_Topic_8,M11_Topic_9,M11_Topic_10,M11_Topic_11,M15_Topic_1,M15_Topic_2,M15_Topic_3,M15_Topic_4,M15_Topic_5,M15_Topic_6,M15_Topic_7,M15_Topic_8,M15_Topic_9,M15_Topic_10,M15_Topic_11,M15_Topic_12,M15_Topic_13,M15_Topic_14,M15_Topic_15
1,communiti,secur,user,communiti,communiti,develop,creat,user,secur,vision,decentr,user,blockchain,financi,good,communiti,communiti,ecosystem,ensur,blockchain,blockchain,financi,world,vision,good,user,secur,develop,communiti,innov,user,blockchain,mission,good,mission,creat,blockchain,decentr,blockchain,secur,mission,empow,blockchain,network,govern,develop,mission,good,peopl,innov,user,communiti
2,make,ecosystem,develop,govern,activ,support,long,blockchain,blockchain,communiti,ecosystem,blockchain,futur,empow,team,govern,particip,technolog,develop,secur,decentr,empow,success,make,team,develop,decentr,govern,token,empow,network,innov,’,team,communiti,ecosystem,technolog,creat,futur,scalabl,’,access,technolog,ethereum,particip,ecosystem,vision,team,chain,decentr,develop,attract
3,good,network,support,particip,success,ecosystem,great,technolog,ensur,make,creat,develop,innov,world,great,develop,activ,decentr,govern,transpar,futur,access,futur,layer,great,network,scalabl,project,reward,individu,transact,sustain,make,crypto,vision,decentr,solut,futur,sustain,solut,make,inclus,audienc,transact,communiti,support,communiti,crypto,industri,ecosystem,provid,reward
4,team,blockchain,educ,transpar,increas,innov,futur,secur,solut,layer,solut,secur,secur,access,support,activ,user,solut,achiev,transact,envis,inclus,impact,peopl,project,platform,provid,particip,give,inclus,ecosystem,experi,peopl,great,shape,futur,develop,transpar,secur,adopt,world,financi,target,blockchain,member,build,shape,great,game,space,platform,token
5,reward,project,success,strateg,make,fund,reward,attract,decentr,peopl,technolog,network,envis,success,chain,ensur,vision,scalabl,goal,chain,vision,global,member,power,attract,ecosystem,layer,support,vote,financi,develop,servic,chain,hope,valu,world,adopt,impact,commit,decentr,interest,defi,core,make,activ,project,valu,hope,goal,trust,secur,strong
6,futur,platform,improv,member,particip,research,term,platform,continu,token,scalabl,transact,sustain,member,attract,promot,reward,innov,educ,promot,secur,decentr,trust,web,futur,provid,platform,ensur,market,defi,improv,asset,industri,part,decis,transpar,audienc,enabl,mission,layer,continu,individu,applic,increas,ensur,achiev,success,part,make,foster,enhanc,give
7,term,fund,address,prioriti,long-term,educ,good,network,ecosystem,web,ethereum,experi,commit,global,futur,particip,token,creat,member,enhanc,commit,individu,posit,crypto,strong,experi,ethereum,collabor,contribut,access,attract,ensur,explor,airdrop,interact,build,effici,world,landscap,develop,low,global,benefit,fee,transpar,growth,posit,user,import,drive,experi,vote
8,market,fee,experi,short-term,event,growth,team,project,long-term,holder,provid,improv,technolog,impact,strong,transpar,vote,blockchain,continu,integr,sustain,financ,technolog,market,support,make,applic,promot,potenti,foster,user-friend,landscap,bring,futur,promis,trust,target,system,access,effici,build,foster,includ,reduc,promot,includ,share,work,privaci,organ,user-friend,market
9,great,decentr,long-term,creat,vision,project,system,market,sustain,world,innov,make,shape,inclus,reward,success,build,ethereum,engag,data,shape,defi,innov,support,give,build,enhanc,communiti,propos,global,make,opportun,ownership,game,statement,user,includ,control,dedic,scale,life,financ,busi,improv,collabor,grant,goal,airdrop,web,commit,applic,grow
10,short,user,enhanc,vote,transpar,invest,make,transact,layer,crypto,effici,enhanc,ecosystem,posit,vote,project,holder,enabl,includ,potenti,innov,foster,aspir,product,work,creat,aim,engag,goal,decentr,fee,remain,public,excel,guid,posit,make,digit,ensur,protocol,prioriti,innov,potenti,cost,engag,incent,statement,excel,protect,promis,communiti,propos
11,peopl,solut,engag,technolog,opportun,grant,chain,advanc,govern,number,enabl,lead,foster,individu,give,engag,govern,applic,organ,fee,digit,provid,benefit,industri,hope,user-friend,solut,member,support,drive,dapp,commit,web,strong,open,digit,scalabl,power,remain,focus,success,revolution,purpos,high,educ,strategi,chang,success,compani,collabor,dapp,potenti
12,activ,transact,provid,includ,strateg,initi,game,improv,scalabl,idea,adopt,potenti,inclus,financ,work,build,propos,drive,sustain,effici,empower,system,space,reach,airdrop,lead,enabl,educ,holder,space,build,divers,ecosystem,join,organ,impact,collabor,support,divers,aim,suppli,aim,solut,integr,process,clear,guid,plan,product,boundari,tool,involv
13,chain,attract,resourc,promot,build,enhanc,peopl,fund,prioriti,open,platform,integr,digit,aspir,hope,educ,encourag,adopt,collabor,growth,divers,servic,seamless,high,agre,potenti,scale,process,strong,financ,reduc,boundari,exist,secur,builder,core,leverag,opportun,asset,priorit,track,strive,industri,interoper,initi,improv,decis,happi,data,pioneer,improv,event
14,hope,audit,ensur,trust,strong,partnership,give,year,network,term,applic,reduc,individu,technolog,agre,achiev,number,aim,valu,blockchain-bas,environment,revolution,inclus,part,import,interoper,maintain,transpar,success,commit,cost,set,life,work,share,thrive,industri,blockchain-bas,evolv,advanc,mind,worldwid,democrat,gas,resourc,lead,framework,nova,time,environ,research,holder
15,campaign,scalabl,build,event,grow,defi,hope,promot,engag,achiev,aim,user-friend,empower,defi,plan,mission,foundat,effici,key,busi,collabor,aspir,transform,inspir,success,improv,protocol,initi,involv,purpos,ethereum,activ,eth,compani,action,grow,busi,data,complianc,robust,heart,user-centr,enthusiast,maintain,decision-mak,faster,stakehold,moon,implement,push,potenti,thing
16,strong,gas,friction,organ,plan,alloc,sybil,promis,strateg,propos,drive,transpar,aspir,system,blockchain-bas,decis,term,foster,decis,reduc,boundari,aim,chang,time,grow,dapp,growth,focus,member,revolution,increas,foster,great,success,success,control,potenti,growth,servic,audit,pave,priorit,individu,smart,encourag,solut,action,campaign,ownership,world,growth,futur
17,grow,ensur,reduc,token,member,resourc,communiti,enhanc,develop,life,revolution,build,collabor,servic,airdrop,goal,expand,thrive,focus,leverag,set,contribut,user,happi,big,opportun,build,achiev,program,strive,high,mission,carri,plan,aspir,chang,tool,trade,model,cost-effect,live,seek,leverag,speed,contribut,activ,interact,continu,program,thrive,fast,creativ
18,crypto,focus,point,vision,time,expand,crypto,focus,experi,eth,trust,data,vision,aim,project,growth,long,advanc,improv,protect,progress,worldwid,broader,eth,plan,cost,seamless,activ,time,transform,interoper,ecosystem,environ,thing,journey,privaci,access,work,seamless,transact,complet,servic,seek,bridg,continu,explor,collect,long,bring,aim,resourc,agre
19,system,layer,foster,potenti,trust,foster,interest,fee,maintain,power,collabor,asset,divers,contribut,grow,includ,fair,challeng,opportun,public,transcend,tradit,bring,easi,’,asset,robust,encourag,creativ,provid,speed,access,cross-bord,happi,align,data,advanc,project,global,ethereum,journey,engag,collabor,facilit,provid,effici,aspir,big,realiz,lead,interfac,voic
20,plan,incent,clear,understand,goal,integr,import,industri,robust,model,thrive,fee,standard,trust,industri,decision-mak,idea,strive,support,suppli,standard,creat,collabor,decis,thing,ethereum,critic,decision-mak,work,worldwid,integr,core,integr,nova,empower,voic,offer,cross-bord,standard,offer,start,drive,evolut,expand,long-term,effort,align,join,public,critic,wider,full
21,time,adopt,onboard,blockchain,work,program,task,stay,regular,big,govern,increas,environment,transform,long,resourc,creativ,pioneer,manag,smart,respons,interact,industri,partner,huge,process,priorit,continu,competit,seek,grant,continu,system,moon,strateg,key,benefit,equit,envis,achiev,digit,invest,driven,contract,fund,foundat,progress,term,opinion,differenti,encourag,task
22,airdrop,increas,barrier,strategi,contribut,build,potenti,base,interoper,action,foster,dapp,respons,advanc,product,stakehold,direct,secur,framework,reliabl,push,forc,legaci,trade,moon,collabor,cost-effect,provid,increas,priorit,bridg,enhanc,loyal,big,collect,growth,enthusiast,cryptocurr,unwav,seamless,profit,transform,approach,liquid,partnership,creation,inspir,nice,influenc,achiev,institut,hold
23,blockchain,invest,regular,process,strategi,protocol,thing,avenu,user,foundat,broader,defi,set,measur,public,opportun,forward,unlock,resourc,util,individu,equit,leav,understand,join,bridg,interest,resourc,chain,secur,liquid,complianc,connect,campaign,jokerac,community-driven,democrat,belief,vision,infrastructur,dream,growth,advanc,opportun,fair,path,open,amaz,main,player,scalabl,competit
